Term,Name,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,ct,-log10(padj)
Acinar Cells,prerank,0.5305131554533085,2.0,0.0,0.010719158058857923,0.01,18/31,24.52%,CTRC;GDF15;PNLIPRP1;CFTR;PNLIP;ANXA4;CPB1;CPA2;GSTA1;PRSS3;PRSS3P2;LYZ;LCN2;CELA3B;OLFM4;PLA2G1B;ALDOB;MUC1,ductal,1.9698389200040596
Adipocytes,,,0.0,,1.0,,,,,ductal,0.0
Alpha Cells,,,0.0,,1.0,,,,,ductal,0.0
Cholangiocytes,prerank,0.4618696269562249,1.693680081993909,0.006153846153846154,0.04566361333073475,0.154,10/25,21.61%,SPP1;ALB;KRT19;KRT7;CLDN4;TACSTD2;CFTR;GSTA1;LCN2;MMP7,ductal,1.340429630951092
Chondrocytes,,,0.0,,1.0,,,,,ductal,0.0
Delta Cells,,,0.0,,1.0,,,,,ductal,0.0
Ductal Cells,prerank,0.42615347857142744,1.64749216846382,0.01116751269035533,0.0559182745403755,0.203,15/34,24.52%,SPP1;GDF15;KRT18;KRT19;KRT7;CLDN4;S100A10;TACSTD2;CFTR;TM4SF1;ANXA4;GSTA1;MMP7;SERPINA5;MUC1,ductal,1.2524461603324126
Fibroblasts,,,0.0,,1.0,,,,,ductal,0.0
Foveolar Cells,prerank,0.42868615734397475,1.4291474273297973,0.07974816369359916,0.22831806665367374,0.602,8/17,28.06%,KRT19;CLDN4;TM4SF1;ANXA4;GSTA1;PLA2G1B;MUC1;PTGR1,ductal,0.6414597027009356
Gamma (PP) Cells,,,0.0,,1.0,,,,,ductal,0.0
Goblet Cells,prerank,0.41999963621281566,1.2522541192693353,0.18181818181818182,0.35051646852465407,0.871,3/11,6.45%,KRT19;KRT7;CLDN4,ductal,0.45529156011072447
Hepatic Stellate Cells,,,0.0,,1.0,,,,,ductal,0.0
Hepatoblasts,prerank,0.6726145476253979,1.918386941195903,0.002224694104560623,0.012327031767686611,0.02,4/10,6.45%,ALB;KRT18;KRT19;CLDN4,ductal,1.9091411324970022
Mammary Epithelial Cells,prerank,0.6142419546400208,1.8539883876963619,0.0033076074972436605,0.012862989670629507,0.04,5/12,9.03%,KRT18;KRT19;KRT7;CLDN4;TACSTD2,ductal,1.8906577414825887
Mesothelial Cells,,,0.0,,1.0,,,,,ductal,0.0
Osteoclasts,,,0.0,,1.0,,,,,ductal,0.0
Pancreatic Stellate Cells,,,0.0,,1.0,,,,,ductal,0.0
Pericytes,,,0.0,,1.0,,,,,ductal,0.0
Stromal Cells,,,0.0,,1.0,,,,,ductal,0.0
Trophoblast Cells,prerank,0.6386478579425164,1.8940785407495542,0.0011074197120708748,0.010719158058857923,0.027,6/11,19.68%,KRT7;CLDN4;S100A10;TACSTD2;ANXA4;LCN2,ductal,1.9698389200040596
Acinar Cells,prerank,0.5415284452260255,1.7630656297178178,0.003033367037411527,0.1442248210445695,0.098,17/23,31.54%,CELA3B;CPA1;PLA2G1B;GDF15;REG1A;OLFM4;LCN2;CFB;CPA2;ALDOB;MUC1;GSTA1;REG3A;ANPEP;CLPS;REG1B;PRSS3P2,beta,0.8409599611335861
Adipocytes,prerank,0.2668367426057964,0.7741679852915325,0.8111814345991561,0.821111901325175,1.0,6/13,34.05%,HTRA1;TIMP1;C3;COL6A3;ADGRF5;ADGRL4,beta,0.08559764780289608
Alpha Cells,,,0.0,,1.0,,,,,beta,0.0
Cholangiocytes,,,0.0,,1.0,,,,,beta,0.0
Chondrocytes,prerank,0.5097718714125838,1.537057276339346,0.026260504201680673,0.5010752054673462,0.384,10/15,34.05%,HTRA1;EMP1;SPARC;COL4A1;COL4A2;TCF4;LCN2;IGF2;COL6A3;ADGRL4,beta,0.3000970781035952
Delta Cells,,,0.0,,1.0,,,,,beta,0.0
Ductal Cells,prerank,0.5187535491168251,1.4877512750095438,0.048625792811839326,0.36745515067605383,0.499,8/12,29.03%,GDF15;SDC4;CFB;MUC1;C3;GSTA1;TM4SF1;KRT18,beta,0.43479564884932376
Fibroblasts,prerank,0.3992925441165294,1.2596929536356825,0.15432098765432098,0.3202639408489705,0.912,6/19,12.54%,VIM;HTRA1;SPARC;COL4A1;COL4A2;TCF4,beta,0.49449194309846034
Foveolar Cells,,,0.0,,1.0,,,,,beta,0.0
Gamma (PP) Cells,,,0.0,,1.0,,,,,beta,0.0
